"countries","rank","gdp billinors"
"Mexico","15","440.8"
"Mexico","15","419.9"
"Mexico","15","416.3"
"Mexico","15","404.1"
"Mexico","15","397.1"
"Mexico","15","397.0"
"Mexico","15","394.1"
"Mexico","15","372.7"
"Mexico","15","368.1"
"Mexico","15","362.6"
"Mexico","15","358.9"
"Mexico","15","346.3"
"Mexico","15","317.1"
"Mexico","15","314.3"
"Mexico","15","299.2"
"Mexico","15","284.1"
"Mexico","15","282.3"
"Mexico","15","250.0"
"Mexico","15","249.9"
"Mexico","15","231.5"
"Indonesia","16","22,996.1"
"Indonesia","16","17,734.1"
"Indonesia","16","4,937.4"
"Indonesia","16","4,223.1"
"Indonesia","16","3,186.9"
"Indonesia","16","3,173.4"
"Indonesia","16","2,937.5"
"Indonesia","16","2,099.9"
"Indonesia","16","1,990.8"
"Indonesia","16","1,798.5"
"Indonesia","16","1,775.8"
"Indonesia","16","1,609.0"
"Indonesia","16","1,542.7"
"Indonesia","16","1,425.3"
"Indonesia","16","1,293.0"
"Indonesia","16","1,186.1"
"Indonesia","16","1,018.0"
"Indonesia","16","833.5"
"Indonesia","16","815.3"
"Indonesia","16","812.9"
"Indonesia","16","674.0"
"Indonesia","16","627.4"
"Indonesia","16","599.9"
"Indonesia","16","506.0"
"Indonesia","16","498.6"
"Indonesia","16","491.5"
"Indonesia","16","482.4"
"Indonesia","16","482.4"
"Indonesia","16","481.6"
"Indonesia","16","477.1"
"Indonesia","16","440.8"
"Indonesia","16","419.9"
"Indonesia","16","416.3"
"Indonesia","16","404.1"
"Indonesia","16","397.1"
"Indonesia","16","397.0"
"Indonesia","16","394.1"
"Indonesia","16","372.7"
"Indonesia","16","368.1"
"Indonesia","16","362.6"
"Indonesia","16","358.9"
"Indonesia","16","346.3"
"Indonesia","16","317.1"
"Indonesia","16","314.3"
"Indonesia","16","299.2"
"Indonesia","16","284.1"
"Indonesia","16","282.3"
"Indonesia","16","250.0"
"Indonesia","16","249.9"
"Indonesia","16","231.5"
"Netherlands","17","22,996.1"
"Netherlands","17","17,734.1"
"Netherlands","17","4,937.4"
"Netherlands","17","4,223.1"
"Netherlands","17","3,186.9"
"Netherlands","17","3,173.4"
"Netherlands","17","2,937.5"
"Netherlands","17","2,099.9"
"Netherlands","17","1,990.8"
"Netherlands","17","1,798.5"
"Netherlands","17","1,775.8"
"Netherlands","17","1,609.0"
"Netherlands","17","1,542.7"
"Netherlands","17","1,425.3"
"Netherlands","17","1,293.0"
"Netherlands","17","1,186.1"
"Netherlands","17","1,018.0"
"Netherlands","17","833.5"
"Netherlands","17","815.3"
"Netherlands","17","812.9"
"Netherlands","17","674.0"
"Netherlands","17","627.4"
"Netherlands","17","599.9"
"Netherlands","17","506.0"
"Netherlands","17","498.6"
"Netherlands","17","491.5"
"Netherlands","17","482.4"
"Netherlands","17","482.4"
"Netherlands","17","481.6"
"Netherlands","17","477.1"
"Netherlands","17","440.8"
"Netherlands","17","419.9"
"Netherlands","17","416.3"
"Netherlands","17","404.1"
"Netherlands","17","397.1"
"Netherlands","17","397.0"
"Netherlands","17","394.1"
"Netherlands","17","372.7"
